,X,Y,Size Total,Inlier Fraction,Cluster/ID,Cluster/Size,Cluster/Fraction,Cluster/Mean [x],Cluster/Std [x],Cluster/Min [x],Cluster/Max [x],Cluster/Mean [y],Cluster/Std [y],Cluster/Min [y],Cluster/Max [y]
0,Translation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.836,-1,209,1.0,695829.4117213014,1.4047174428761314e-08,695829.4117212795,695829.4117213212,79.9222621645575,1.3645340700990604e-08,79.92226214317414,79.92226218415085
1,Translation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.836,0,209,1.0,695829.4117213014,1.4047174428761314e-08,695829.4117212795,695829.4117213212,79.9222621645575,1.3645340700990604e-08,79.92226214317414,79.92226218415085
2,Translation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.836,-1,209,1.0,5346093.788831307,6.846944788363891e-08,5346093.7888312,5346093.788831403,79.9222621645575,1.3645340700990604e-08,79.92226214317414,79.92226218415085
3,Translation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.836,0,209,1.0,5346093.788831307,6.846944788363891e-08,5346093.7888312,5346093.788831403,79.9222621645575,1.3645340700990604e-08,79.92226214317414,79.92226218415085
4,Translation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.836,-1,209,1.0,540.1659273514709,1.9234881645987756e-08,540.1659273242165,540.1659273820137,79.92226216455936,1.3659193021129246e-08,79.92226214278072,79.9222621845895
5,Translation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.836,0,209,1.0,540.1659273514709,1.9234881645987756e-08,540.1659273242165,540.1659273820137,79.92226216455936,1.3659193021129246e-08,79.92226214278072,79.9222621845895
6,Rotation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.836,-1,209,1.0,86.1227683810649,1.8770552729646632e-09,86.1227683780723,86.1227683837312,79.92226216455936,1.3659193021129246e-08,79.92226214278072,79.9222621845895
7,Rotation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.836,0,209,1.0,86.1227683810649,1.8770552729646632e-09,86.1227683780723,86.1227683837312,79.92226216455936,1.3659193021129246e-08,79.92226214278072,79.9222621845895
8,Rotation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.836,-1,209,1.0,0.3784291655123422,8.995441014803427e-09,0.3784291527594119,0.3784291798042486,79.92226216455936,1.3659193021129246e-08,79.92226214278072,79.9222621845895
9,Rotation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.836,0,209,1.0,0.3784291655123422,8.995441014803427e-09,0.3784291527594119,0.3784291798042486,79.92226216455936,1.3659193021129246e-08,79.92226214278072,79.9222621845895
10,Rotation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.836,-1,209,1.0,-19.32748428918787,8.630989969382464e-10,-19.327484290405675,-19.327484287834928,79.9222621645575,1.3645340700990604e-08,79.92226214317414,79.92226218415085
11,Rotation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.836,0,209,1.0,-19.32748428918787,8.630989969382464e-10,-19.327484290405675,-19.327484287834928,79.9222621645575,1.3645340700990604e-08,79.92226214317414,79.92226218415085
12,Focal Length,"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.836,-1,209,1.0,8590.486142481823,1.0085962458802589e-06,8590.486141059038,8590.486144066617,79.9222621645575,1.3645340700990604e-08,79.92226214317414,79.92226218415085
13,Focal Length,"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.836,0,209,1.0,8590.486142481823,1.0085962458802589e-06,8590.486141059038,8590.486144066617,79.9222621645575,1.3645340700990604e-08,79.92226214317414,79.92226218415085
