,X,Y,Size Total,Inlier Fraction,Cluster/ID,Cluster/Size,Cluster/Fraction,Cluster/Mean [x],Cluster/Std [x],Cluster/Min [x],Cluster/Max [x],Cluster/Mean [y],Cluster/Std [y],Cluster/Min [y],Cluster/Max [y]
0,Translation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.812,-1,203,1.0,695963.1527364827,3.7138750031647664e-10,695963.1527364821,695963.1527364833,59.990082410920735,1.6684940987556184e-09,59.99008240810425,59.99008241437463
1,Translation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.812,0,203,1.0,695963.1527364827,3.7138750031647664e-10,695963.1527364821,695963.1527364833,59.990082410920735,1.6684940987556184e-09,59.99008240810425,59.99008241437463
2,Translation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.812,-1,203,1.0,5346514.342298023,3.990005886475893e-09,5346514.342298018,5346514.342298031,59.99008241091512,1.6622793845028006e-09,59.990082408031185,59.99008241421687
3,Translation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.812,0,203,1.0,5346514.342298023,3.990005886475893e-09,5346514.342298018,5346514.342298031,59.99008241091512,1.6622793845028006e-09,59.990082408031185,59.99008241421687
4,Translation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.812,-1,203,1.0,539.5661507950769,5.704467221049517e-10,539.5661507940835,539.5661507959471,59.99008241091052,1.6305242360650875e-09,59.99008240831969,59.99008241386307
5,Translation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.812,0,203,1.0,539.5661507950769,5.704467221049517e-10,539.5661507940835,539.5661507959471,59.99008241091052,1.6305242360650875e-09,59.99008240831969,59.99008241386307
6,Rotation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.812,-1,203,1.0,77.13259673629702,7.966033951622815e-10,77.13259673508279,77.13259673766387,59.99008241091158,1.6254801943805952e-09,59.990082408381774,59.990082413897134
7,Rotation [x],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.812,0,203,1.0,77.13259673629702,7.966033951622815e-10,77.13259673508279,77.13259673766387,59.99008241091158,1.6254801943805952e-09,59.990082408381774,59.990082413897134
8,Rotation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.812,-1,203,1.0,0.11750192589810471,7.614595334595515e-10,0.1175019247344732,0.1175019272201937,59.99008241091052,1.6305242360650875e-09,59.99008240831969,59.99008241386307
9,Rotation [y],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.812,0,203,1.0,0.11750192589810471,7.614595334595515e-10,0.1175019247344732,0.1175019272201937,59.99008241091052,1.6305242360650875e-09,59.99008240831969,59.99008241386307
10,Rotation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.812,-1,203,1.0,163.6564411546681,3.8698960056573105e-10,163.65644115407636,163.65644115535778,59.99008241091027,1.6275800899220941e-09,59.99008240816264,59.990082413897134
11,Rotation [z],"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.812,0,203,1.0,163.6564411546681,3.8698960056573105e-10,163.65644115407636,163.65644115535778,59.99008241091027,1.6275800899220941e-09,59.99008240816264,59.990082413897134
12,Focal Length,"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.812,-1,203,1.0,2746.9493262744545,1.1784522687907092e-07,2746.9493260957624,2746.949326480664,59.990082410911945,1.6249423705180953e-09,59.990082408381774,59.990082413897134
13,Focal Length,"['Loss [Correspondences]', 'Loss [Lambdas]']",250,0.812,0,203,1.0,2746.9493262744545,1.1784522687907092e-07,2746.9493260957624,2746.949326480664,59.990082410911945,1.6249423705180953e-09,59.990082408381774,59.990082413897134
