FrameId,Original,SURF,ORB,FAST
0,0,0,0,0
1,4.80805,4.26669,3.69288,9.59983
2,2.04524,3.00043,2.66483,5.92217
3,5.24368,4.20711,17.4991,7.63969
4,4.24495,4.36292,4.52847,4.73215
5,3.29611,10.1719,3.05992,7.46475
6,3.23433,3.46831,3.17066,16.6567
7,2.68266,25.3326,2.57372,13.2623
8,2.87957,3.01125,3.53521,11.1972
9,1.87928,1.2224,1.98914,2.21569
10,4.23391,2.0152,2.18073,12.4005
11,3.32815,1.92396,2.89968,15.6119
12,3.7959,2.08127,6.53681,37.8061
13,4.45593,2.19895,2.20126,3.29378
14,6.09165,2.65689,2.30605,2.77541
15,5.23236,2.45567,2.48699,2.83562
16,3.39976,1.21229,1.81698,2.0273
17,3.15261,2.74032,2.85044,5.20091
18,5.65335,2.78217,2.82768,11.9568
19,4.79244,2.98613,3.94589,3.02735
20,6.88301,3.01783,3.88558,3.45247
21,3.21237,2.64643,2.76655,2.84083
22,3.24793,2.8282,3.24677,2.89041
23,3.1529,1.58021,2.60822,1.78409
24,8.55961,2.86675,5.65443,3.35936
25,5.08801,3.05214,3.20381,3.46375
26,4.40423,2.88421,3.38403,3.79528
27,3.90678,3.18403,3.31533,4.85595
28,4.392,2.77551,3.4154,2.87051
29,5.26284,2.48346,2.69196,2.6175
30,2.28316,1.25151,1.35925,1.31839
31,2.54558,2.49416,2.46106,2.47969
32,3.62163,2.53564,2.56837,2.55509
33,5.85684,2.47414,2.52058,2.60024
34,5.14246,3.35125,3.32667,3.92004
35,6.96097,2.9412,3.48274,4.66401
36,4.20531,1.8996,2.16706,3.91367
37,7.85103,3.8147,4.40524,3.73844
38,5.73247,3.95714,7.00471,4.24293
39,8.19322,3.81094,4.17192,3.89122
40,5.21705,4.97895,3.9781,4.08457
41,3.5491,3.34985,3.40248,3.48431
42,6.49119,3.62464,3.57121,3.517
43,1.83618,1.50102,1.63214,1.84858
44,4.70874,3.56735,3.78046,4.53567
45,4.06494,3.10949,3.13134,3.08554
46,5.76208,3.43178,3.69092,3.40924
47,6.01214,3.14794,4.36523,3.42075
48,6.31384,2.47903,2.60754,2.77908
49,5.23284,2.62169,2.67189,2.92222
50,4.254,0.99798,1.18767,1.5266
51,3.91369,1.6388,1.86266,2.06891
52,4.9817,1.7138,2.10741,2.64312
53,3.28334,1.27967,1.43369,1.33907
54,1.8209,1.01253,1.31332,1.48224
55,1.5142,1.066,1.18473,1.84426
56,2.51346,0.764909,0.893353,0.970059
57,1.61601,0.548213,1.71412,1.0439
58,1.64991,0.761733,1.97767,1.59176
59,1.8503,0.844531,1.15917,1.60621
60,2.30934,0.936245,1.23826,1.89503
61,2.83571,0.999857,1.12006,1.0501
62,3.31959,0.940019,0.932573,0.867974
63,2.74623,0.982857,1.09747,1.30762
64,2.24156,0.538197,0.964094,1.17604
65,3.66627,1.00407,1.30906,1.3375
66,3.41819,1.07979,1.47705,1.10858
67,2.80641,1.07216,1.53316,1.58274
68,1.46053,0.968711,1.04864,1.3265
69,2.16653,0.938274,1.16247,1.51423
70,0.628988,1.0496,0.797148,0.884265
71,2.30237,1.32566,1.3626,1.31764
72,1.79019,1.0732,1.49637,1.26959
73,3.00584,1.11168,1.40681,1.23335
74,3.79647,1.23372,1.67895,1.46504
75,3.69256,1.15239,1.65959,3.17687
76,3.57884,1.22474,1.76311,2.78999
77,1.95488,0.660701,1.2533,2.87583
78,3.58956,1.30935,1.81673,1.66429
79,1.69114,1.7721,1.59606,1.45634
80,1.64441,1.47753,1.58961,1.78822
81,1.9298,1.38794,2.04321,1.9349
82,3.43629,1.77437,1.59431,1.56391
83,3.20196,1.4788,1.59904,1.70664
84,2.29727,0.847459,1.30342,1.19227
85,2.64622,1.88609,2.24236,1.6329
86,3.04672,1.80654,1.96581,1.65267
87,2.98898,1.48846,1.58927,1.69239
88,2.14741,1.34892,1.52694,1.62579
89,1.95357,1.45678,1.86901,2.58207
90,4.1674,1.31691,1.6945,2.12545
91,1.45728,1.03876,1.24264,1.24721
92,2.312,1.38194,2.2324,1.8286
