Camera,Stabilizer,Mean pixel displacement,Better [abs],Better [frac],Better [%],Worse [abs],Worse [frac],Worse [%]
S40 Far,Original,2.08918155934465,1465,0,100,0,0,0
S40 Far,FAST,0.82190766749835,1442,0.984300341296928,98.4300341296928,23,0.015699658703072,1.56996587030717
S40 Far,ORB,0.815263363158938,1440,0.982935153583618,98.2935153583618,25,0.017064846416382,1.70648464163823
S40 Far,SURF,0.789718676497765,1462,0.997952218430034,99.7952218430034,3,0.002047781569966,0.204778156996582
S40 Near,Original,2.38306470634787,1465,0,100,0,0,0
S40 Near,FAST,1.57009344680458,1282,0.875085324232082,87.5085324232082,183,0.124914675767918,12.4914675767918
S40 Near,ORB,1.41909580606339,1316,0.898293515358362,89.8293515358362,149,0.101706484641638,10.1706484641638
S40 Near,SURF,1.18013905814878,1454,0.992491467576792,99.2491467576792,11,0.007508532423208,0.750853242320815
S50 Far,Original,1.33289902341722,1465,0,100,0,0,0
S50 Far,FAST,0.76072218619823,1268,0.865529010238908,86.5529010238908,197,0.134470989761092,13.4470989761092
S50 Far,ORB,0.642585627094154,1410,0.962457337883959,96.2457337883959,55,0.037542662116041,3.75426621160409
S50 Far,SURF,0.621056002349852,1446,0.98703071672355,98.703071672355,19,0.012969283276451,1.29692832764505
S50 Near,Original,1.02953302023337,1460,0,100,0,0,0
S50 Near,FAST,0.878740009608315,1313,0.899315068493151,89.9315068493151,147,0.100684931506849,10.0684931506849
S50 Near,ORB,0.878406297392694,1343,0.91986301369863,91.986301369863,117,0.08013698630137,8.01369863013699
S50 Near,SURF,0.869734593590862,1396,0.956164383561644,95.6164383561644,64,0.043835616438356,4.38356164383562
